authors,citations
Andrew Blake,3
Steven Feiner,2
Nadia Magnenat-Thalmann;Daniel Thalmann,13
David Peleg,1
Zvi Galil,271
Ronald Fagin,38
Robin Milner,190
Tobias Nipkow,9
Jens Palsberg,21
Frank Pfenning,65
Adnan Darwiche,1
Edmund M. Clarke,2
Georg Gottlob,2
Ian Horrocks,61
Neil D. Jones,1
Dale Miller,8
Dale Miller,47
Tobias Nipkow,36
Tobias Nipkow;Lawrence C. Paulson,59
Lawrence C. Paulson,6
Lawrence C. Paulson,6
Lawrence C. Paulson,29
Lawrence C. Paulson,87
Frank Pfenning,29
Frank Pfenning,23
Frank Pfenning,10
Ulrike Sattler;Moshe Y. Vardi,87
Moshe Y. Vardi,43
V. S. Subrahmanian,11
Toby Walsh,16
Tobias Nipkow,23
Judea Pearl,52
Balakrishnan Chandrasekaran,40
Zhengyou Zhang,2
Zhengyou Zhang,8
Serge Abiteboul,31
Diego Calvanese,1
Diego Calvanese;Giuseppe De Giacomo;Maurizio Lenzerini,8
Frank Leymann,26
Peter Steenkiste,28
Maurice Herlihy,40
Pascal Fua,30
Josep Domingo-Ferrer,38
Jean-Jacques Quisquater,0
Margaret Martonosi,2
Jens Palsberg,10
Rajeev Alur,482
Rajeev Alur;Thomas A. Henzinger,45
Robert K. Brayton,0
Patrice Godefroid,358
Patrice Godefroid,59
Patrice Godefroid;Pierre Wolper,242
David Harel,20
Thomas A. Henzinger,5
Zohar Manna,10
Amir Pnueli,6
Joseph Sifakis,15
Moshe Y. Vardi,69
Oscar Nierstrasz,2
Mary Lou Soffa,5
Rajiv Gupta,16
Thomas W. Reps,67
Vivek Sarkar,5
Pankaj K. Agarwal;Micha Sharir,36
Micha Sharir,3
Jack Dongarra,0
Luc Moreau,52
Dexter Kozen,38
Elisa Bertino;Pierangela Samarati;Sushil Jajodia,41
Elisa Bertino;Pierangela Samarati;Sushil Jajodia,53
Mihir Bellare;Shafi Goldwasser,117
Elisa Bertino;Sushil Jajodia;Pierangela Samarati,7
Michael T. Goodrich,159
Hugo Krawczyk,171
Paul C. van Oorschot,126
Adrian Perrig,253
Birgit Pfitzmann,31
Birgit Pfitzmann;Michael Waidner,244
Birgit Pfitzmann;Michael Waidner,103
David Wagner,73
Sabrina De Capitani di Vimercati;Sushil Jajodia;Stefano Paraboschi;Pierangela Samarati,10
Sushil Jajodia,196
Gene Tsudik,0
Dan Boneh;Moni Naor,36
Jan Chomicki,31
Christos H. Papadimitriou,1
Michael L. Littman,8
Daniel Cohen-Or,22
Vivek Sarkar,5
Leslie Lamport,62
Jean-Jacques Quisquater,0
Adi Shamir,135
Ari Juels,0
Peter Brusilovsky,25
Stuart K. Card,1
John M. Carroll,1
John M. Carroll;Mary Beth Rosson,47
Paul Dourish,347
Steven Feiner,2
Saul Greenberg,136
Saul Greenberg,42
Jonathan Grudin,266
Jonathan Grudin,3
Jonathan Grudin,2
Carl Gutwin,150
Carl Gutwin;Saul Greenberg,196
Carl Gutwin;Saul Greenberg,195
Eric Horvitz,598
Mary Beth Rosson;John M. Carroll,40
