authors,citations
Donald E. Knuth,69
Donald E. Knuth,9
Donald E. Knuth,33
Donald E. Knuth,99
Donald E. Knuth,13
Donald E. Knuth,33
Donald E. Knuth,125
Donald E. Knuth,182
Donald E. Knuth,61
Donald E. Knuth,58
Donald E. Knuth,16
Donald E. Knuth,142
Richard E. Ladner,17
Leslie Lamport,682
Leslie Lamport,563
Leslie Lamport,14
Leslie Lamport,267
Leslie Lamport,7620
Leslie Lamport,8
Leslie Lamport,1768
Leslie Lamport,301
Barbara Liskov,114
Barbara Liskov,490
Pattie Maes,3198
Pattie Maes,636
Zohar Manna;Adi Shamir,25
John McCarthy,1341
Robin Milner,306
Robert Morris,294
Robert Morris,110
Allen Newell,7
Allen Newell;Herbert A. Simon,1826
David A. Patterson,139
David A. Patterson,3
David A. Patterson,9
David A. Patterson,2
David A. Patterson,1
David A. Patterson,57
David A. Patterson,19
David A. Patterson,3
David A. Patterson,21
David A. Patterson,53
David A. Patterson,1
David A. Patterson,25
Judea Pearl,71
Shmuel Peleg;Azriel Rosenfeld,86
Alex Pentland,17
Adrian Perrig;John A. Stankovic;David Wagner,1011
Michael O. Rabin,32
Ronald L. Rivest,233
Ronald L. Rivest;Adi Shamir,121
Mary Beth Rosson,56
Mary Beth Rosson;John M. Carroll,52
Gerard Salton,51
Gerard Salton,2
Gerard Salton,1
Gerard Salton,10
Gerard Salton,0
Gerard Salton,0
Gerard Salton,1
Gerard Salton,0
Gerard Salton,0
Gerard Salton,9
Gerard Salton,44
Gerard Salton,383
Hanan Samet,15
Hanan Samet,229
Hanan Samet,26
Hanan Samet,6
Hanan Samet,56
Hanan Samet,127
Tuomas Sandholm,130
Douglas C. Schmidt,181
Douglas C. Schmidt,257
Douglas C. Schmidt,133
Ben Shneiderman,518
Ben Shneiderman,170
Ben Shneiderman,335
Ben Shneiderman,9
Ben Shneiderman,116
Ben Shneiderman,80
Ben Shneiderman,17
Ben Shneiderman,51
Ben Shneiderman,2
Ben Shneiderman,8
Adi Shamir,7090
Mary Shaw,5
Abraham Silberschatz;Michael Stonebraker;Jeffrey D. Ullman,232
Michael Stonebraker,528
Andrew S. Tanenbaum,156
Demetri Terzopoulos,147
Sebastian Thrun,2830
Uzi Vishkin,19
Philip Wadler,59
Gio Wiederhold,103
Yorick Wilks,228
Terry Winograd,169
Terry Winograd,124
Niklaus Wirth,36
Niklaus Wirth,0
Niklaus Wirth,0
Niklaus Wirth,7
Niklaus Wirth,17
Niklaus Wirth,56
Niklaus Wirth,1390
Niklaus Wirth,171
Niklaus Wirth,247
Niklaus Wirth,42
Niklaus Wirth,31
Gio Wiederhold,24
Terry Winograd,36
Jeff Kramer,190
Sebastian Thrun,3
Ben Shneiderman,59
Ben Shneiderman,166
Jon Crowcroft,10
Bernard Chazelle,4
Moshe Y. Vardi,0
Gul Agha,24
Michael Stonebraker;David J. DeWitt,0
David Harel,34
Ian Horrocks,122
David A. Patterson,1
Michael Stonebraker,14
Jeffrey D. Ullman,1
Tom Leighton,67
Madhu Sudan,7
Bernd Hamann,331
Bernd Hamann,8
John Mitchell,2
Hans-Peter Seidel,38
Hans-Peter Seidel,60
Luc Moreau,1
Uriel Feige,13
Mihir Bellare;Oded Goldreich;Shafi Goldwasser,89
Ran Canetti;Oded Goldreich,28
Oded Goldreich,0
Noam Nisan,120
Noam Nisan;Avi Wigderson,66
Simon S. Lam,6
Jon Crowcroft,7
Nick Feamster,33
Nick Feamster;Hari Balakrishnan,38
Anja Feldmann,8
Srinivasan Keshav,61
Jun Wang;Klara Nahrstedt,12
Matt Welsh,41
Lixia Zhang,8
David Wetherall,10
Vern Paxson,1152
Jon Crowcroft,76
Anja Feldmann,180
Jon Crowcroft,3
Mark Crovella;Christophe Diot,0
Jennifer Rexford,0
Jon Crowcroft,0
Hojjat Adeli,4
Hojjat Adeli,2
Hugues Hoppe,333
Nadia Magnenat-Thalmann;Daniel Thalmann,4
Nadia Magnenat-Thalmann;Daniel Thalmann,0
Hanan Samet,76
Norman I. Badler,26
Kwan-Liu Ma,27
Kwan-Liu Ma,12
Kwan-Liu Ma,1
Steven Feiner;Daniel Thalmann,4
Ramesh Jain,8
Nassir Navab,44
Ben Shneiderman,62
Kwan-Liu Ma,12
Norman I. Badler,11
Nadia Magnenat-Thalmann;Daniel Thalmann,5
Pat Hanrahan,3
Jiawei Han,38
Didier Dubois;Henri Prade,8
Didier Dubois;Henri Prade,83
Didier Dubois;Henri Prade,429
Craig Boutilier,10
Craig Boutilier,0
Ronald Fagin;Joseph Y. Halpern,197
Boi Faltings,0
William W. Cohen,9
Joseph Y. Halpern,2
Joseph Y. Halpern,10
Judea Pearl,14
David Poole,261
John K. Tsotsos,68
Tuomas Sandholm,283
Daniel S. Weld,2
Michael P. Wellman,0
Michael P. Wellman,0
Ian F. Akyildiz,4
Elisa Bertino,3
Jack Dongarra,14
Erol Gelenbe,1
Sushil Jajodia,5
Donald E. Knuth,1361
Dinesh Manocha,23
Fionn Murtagh,1
Fionn Murtagh,457
Fionn Murtagh,79
Tobias Nipkow,5
Lawrence C. Paulson,15
Jie Wu,10
Abraham Silberschatz,0
Abraham Silberschatz,24
Andrew S. Tanenbaum,7
Robin Milner,36
Rachid Guerraoui;Michel Raynal,39
Uriel Feige;Joe Kilian,40
Moshe Y. Vardi,3
Matthias Felleisen,21
Ken Kennedy,20
Nadia Magnenat-Thalmann,2
Hanan Samet,9
Micha Sharir,71
Micha Sharir,6
Charles E. Perkins;David B. Johnson,683
Mostafa H. Ammar,5
Steve Benford,6
Simon S. Lam,188
Ernst Biersack,7
Jean-Yves Le Boudec,384
Imrich Chlamtac,32
Jon Crowcroft;Christophe Diot,0
Deborah Estrin,26
Deborah Estrin,29
Deborah Estrin;Gene Tsudik,14
Anja Feldmann,100
David K. Gifford,25
Ahmed Helmy,42
Raj Jain,72
Raj Jain,531
Leonard Kleinrock,22
Leslie Lamport,208
Steve Lawrence;C. Lee Giles,148
Vern Paxson,1815
Charles E. Perkins,51
Krithi Ramamritham,31
John A. Stankovic,94
Peter Stone,3
Bart Preneel,15
Stephen Grossberg,918
Risto Miikkulainen,100
Herbert A. Simon,47
Kevin Knight,222
Daniel Marcu,151
Kathleen McKeown,26
Fernando C. N. Pereira,165
Fernando C. N. Pereira,97
Andreas Stolcke,317
Yorick Wilks,2
Noga Alon,759
Noga Alon,30
Noga Alon,96
Noga Alon,32
Noga Alon,53
Noga Alon,64
Manuel Blum,164
Donald E. Knuth,65
Noam Nisan,129
Noam Nisan,356
Noam Nisan;Avi Wigderson,103
Christos H. Papadimitriou;Mihalis Yannakakis,16
Micha Sharir,58
Micha Sharir,30
Micha Sharir,6
Mikkel Thorup,22
Noga Alon,64
Donald E. Knuth,191
Donald E. Knuth,64
David Eppstein,17
Guohong Cao;Mukesh Singhal,36
Biswanath Mukherjee,16
Peter Steenkiste,20
Roger Wattenhofer,25
Pankaj K. Agarwal,20
Pankaj K. Agarwal;Micha Sharir,14
David Eppstein,28
David Eppstein,32
David Eppstein,18
David Eppstein,17
David Eppstein,50
Michael T. Goodrich,6
Joseph S. B. Mitchell;Subhash Suri,49
Elisa Bertino,46
Josep Domingo-Ferrer,6
Ming Li,71
Ming Li,73
Bart Preneel,1
John M. Carroll,2
John M. Carroll,3
Dharma P. Agrawal,131
Edward A. Fox,191
Luca Benini;Giovanni De Micheli,2787
Philip A. Bernstein,153
Edward A. Lee,561
Gaetano Borriello,18
Edward A. Lee,287
Hsinchun Chen,89
Steven Feiner;Kathleen McKeown,232
Dieter Fensel,119
Jim Gray,32
Jonathan Grudin,325
Jonathan Grudin,1011
David Harel,127
David Harel,266
Mark D. Hill,290
Mark D. Hill,150
Randy H. Katz,71
Leonard Kleinrock,110
Teuvo Kohonen,658
H. T. Kung,2039
Marc Levoy,99
Dinesh Manocha,44
Biswanath Mukherjee,22
Alex Pentland,132
Alex Pentland,200
Krithi Ramamritham,8
Michel Raynal;Mukesh Singhal,257
Mahadev Satyanarayanan,445
Micha Sharir,146
Kang G. Shin,121
Ben Shneiderman,1736
Douglas C. Schmidt,1090
Mukesh Singhal,238
John A. Stankovic,20
John A. Stankovic,12
Peter Steenkiste,123
Alex Waibel,129
Gio Wiederhold,9
Gio Wiederhold,172
Gio Wiederhold,2632
Niklaus Wirth,113
Niklaus Wirth,57
David A. Wood;Mark D. Hill,85
Thomas A. Henzinger;Joseph Sifakis,124
Franco Zambonelli;Michael Luck,2
Raghu Ramakrishnan;Andrew Tomkins,48
Barry Smyth,47
Michael J. Carey,26
David Harel,28
Ramesh Jain,31
John A. Stankovic,89
Jie Wu,2
Rachid Guerraoui,1
Frank Leymann,52
James Demmel,6
Ben Y. Zhao,0
Stefano Nolfi,45
Stefano Nolfi,97
Pascal Van Hentenryck,0
Pascal Van Hentenryck,10
Rina Dechter,20
Raghu Ramakrishnan,3
Roberto Tamassia,38
Fred Glover,43
Fred Glover,2065
Fred Glover,23
Olvi L. Mangasarian,39
Jun Wang,9
Daniel Marcu,4
Adnan Darwiche,64
David Eppstein,37
Joseph Y. Halpern,82
Joseph Y. Halpern,31
Joseph Y. Halpern;Judea Pearl,147
Nir Friedman;Joseph Y. Halpern,81
Joseph Y. Halpern;Judea Pearl,195
Nir Friedman;Joseph Y. Halpern,72
Nir Friedman;Joseph Y. Halpern,60
Joseph Y. Halpern;Daphne Koller,21
Ajith Abraham,46
Ajith Abraham,172
Ajith Abraham,126
Ajith Abraham,26
Ajith Abraham,55
Ajith Abraham,44
Ajith Abraham,30
Joseph Y. Halpern,43
Joseph Y. Halpern,33
Michael P. Wellman,599
William W. Cohen,62
William W. Cohen,55
Toby Walsh,40
Giuseppe De Giacomo;Maurizio Lenzerini,55
Joseph Y. Halpern,89
Milind Tambe,1009
Adnan Darwiche,149
Nir Friedman;Joseph Y. Halpern;Daphne Koller,9
Joseph Y. Halpern,19
Nir Friedman;Joseph Y. Halpern,84
Nir Friedman;Joseph Y. Halpern,61
Joseph Y. Halpern,53
Jim Gray,2
Uriel Feige,6
Russell Impagliazzo,15
Fionn Murtagh,1
David Eppstein;S. Muthukrishnan,166
David Eppstein,8
David Eppstein,12
David Eppstein,6
David Eppstein,50
David Eppstein,28
Andreas Stolcke,231
Philipp Koehn;Kevin Knight,146
Dan Roth,195
Yorick Wilks,7
Yorick Wilks,21
Jan Chomicki,4
Jan Chomicki,31
Jim Gray,4
Joseph Y. Halpern,15
William Gropp,46
Rajkumar Buyya,670
Jim Gray;Leslie Lamport,150
Joseph Y. Halpern,6
Joseph Y. Halpern,0
David Eppstein,105
David Eppstein,67
David Eppstein,50
David Eppstein,64
David Eppstein,61
Aravind Srinivasan,58
David Eppstein,55
David Eppstein,18
David Eppstein,27
David Eppstein,305
David Eppstein,106
Jim Gray,79
Joseph Y. Halpern,47
Joseph Y. Halpern,46
Robert Harper;Frank Pfenning,103
Satoshi Matsuoka,3
Lawrence C. Paulson,71
Lawrence C. Paulson,59
Lawrence C. Paulson,29
Lawrence C. Paulson,164
Lawrence C. Paulson,389
Lawrence C. Paulson,530
Lawrence C. Paulson,19
Lawrence C. Paulson,133
Lawrence C. Paulson,32
Lawrence C. Paulson,94
Lawrence C. Paulson,73
Lawrence C. Paulson,53
Ahmed Helmy,9
Ahmed Helmy,12
Ahmed Helmy,43
Ahmed Helmy,29
Jim Gray,158
Vern Paxson,594
Raj Jain,5
Raj Jain,531
Raj Jain,144
Raj Jain,172
Raj Jain,60
Raj Jain,41
Raj Jain,72
Raj Jain,327
Raj Jain,126
Raj Jain,47
Raj Jain,5
David Eppstein,8
David Eppstein,20
Lance Fortnow,39
Jim Gray,11
Jim Gray,19
Jim Gray,5
Fionn Murtagh,6
Fionn Murtagh,1
Joseph Y. Halpern,32
David Eppstein;Michael T. Goodrich,6
David Eppstein,22
David Eppstein,17
Stephen Cook,0
David Eppstein,11
Jan Chomicki,28
David Eppstein,8
Joseph Y. Halpern,1
Fionn Murtagh,32
Dale Miller,1
Fionn Murtagh,4
David Eppstein,10
Dexter Kozen,8
David Eppstein,8
David Eppstein,19
Diego Calvanese;Giuseppe De Giacomo;Maurizio Lenzerini,39
Jan Chomicki,17
David Eppstein,17
Steffen Staab,1
Mihalis Yannakakis,12
David Eppstein,1
Fionn Murtagh,0
Joseph Y. Halpern,2
David Eppstein,4
David Eppstein;Michael T. Goodrich,39
Joseph Y. Halpern,19
Joseph Y. Halpern,18
David Eppstein,5
Fionn Murtagh,11
David Eppstein;Michael T. Goodrich,33
Fionn Murtagh,4
Fionn Murtagh,3
Toby Walsh,27
Toby Walsh,26
Toby Walsh,23
Toby Walsh,27
Toby Walsh,124
Yoav Freund,1
Amnon Shashua,0
Michael T. Goodrich,12
Michael T. Goodrich,20
Noga Alon,34
Noga Alon,31
Keith Edwards,5
Keith Edwards,9
Keith Edwards,15
Michael Mitzenmacher,32
Micha Sharir,18
Mikkel Thorup,27
Noga Alon,1
Noga Alon,2
Noga Alon,24
Carl Gutwin;Saul Greenberg,604
Paul Dourish,144
Paul Dourish,40
John M. Carroll,1
Ben Shneiderman,2
Michel Raynal,12
Gregory D. Abowd,6
Pankaj K. Agarwal;Subhash Suri,0
Pankaj K. Agarwal;Micha Sharir,222
Gul Agha,6
Rajeev Alur,0
Alan Burns,0
Luca Cardelli,436
Luca Cardelli,13
Luca Cardelli,40
Soumen Chakrabarti,37
Craig Chambers,4
Shih-Fu Chang,2
Umeshwar Dayal,0
Rina Dechter,20
Didier Dubois;Henri Prade,15
David Garlan,82
Christos Faloutsos,419
Oded Goldreich;Avi Wigderson,8
Zvi Galil,271
Won Kim,76
Won Kim,0
Stephanie Forrest,113
Jonathan Grudin,23
Dirk Grunwald,1
Rachid Guerraoui,53
Rachid Guerraoui,4
Pascal Van Hentenryck,10
Thomas A. Henzinger,5
Sushil Jajodia,53
Sushil Jajodia,1
Daphne Koller,2
Neil D. Jones,228
Donald Kossmann,699
Randy H. Katz,607
Won Kim,57
Kevin Knight,310
Donald E. Knuth,39
Donald E. Knuth,742
Vladimir Lifschitz,10
Prasant Mohapatra,105
Thomas P. Moran,217
Thomas P. Moran,0
Nadia Magnenat-Thalmann;Daniel Thalmann,329
Rajeev Motwani;Prabhakar Raghavan,4453
Klara Nahrstedt,31
Gonzalo Navarro,1290
M. Tamer Özsu,4
Dale Miller,3
Jens Palsberg,10
Jens Palsberg,0
Jens Palsberg,2
Judea Pearl,30
Fernando C. N. Pereira,2
Raghu Ramakrishnan,3
Krithi Ramamritham,0
Krithi Ramamritham,3
Azriel Rosenfeld,889
Azriel Rosenfeld,51
Mary Beth Rosson,21
Hanan Samet,13
Hanan Samet,1984
Hanan Samet,79
Hanan Samet,4
Douglas C. Schmidt,11
Bart Selman,2
Dennis Shasha,11
Ben Shneiderman,199
Ben Shneiderman,4
Joseph Sifakis,5
Joseph Sifakis,1
John A. Stankovic,90
John A. Stankovic,142
John A. Stankovic,5
Roberto Tamassia,3
Roberto Tamassia,27
Andrew S. Tanenbaum,42
Andrew S. Tanenbaum,1
Andrew S. Tanenbaum,130
Andrew S. Tanenbaum;Robbert van Renesse,1288
Jeffrey D. Ullman,6
Jeffrey D. Ullman,0
Philip Wadler,14
Philip Wadler,167
Michael P. Wellman,68
Michael P. Wellman,68
Jennifer Widom,25
Gio Wiederhold,103
Niklaus Wirth,174
Pierre Wolper,3
Pierre Wolper,5
David A. Wood,0
Luca Cardelli,725
Andrew Blake,123
Michael T. Goodrich,23
W. Eric L. Grimson,166
W. Eric L. Grimson,0
W. Eric L. Grimson,3
Katsushi Ikeuchi;Takeo Kanade,44
Michal Irani;Shmuel Peleg,1088
Ron Kimmel,61
Dinesh Manocha;James Demmel,70
Shmuel Peleg,12
Tomaso Poggio,59
Jean Ponce,62
Mubarak Shah;Ramesh Jain,56
Azriel Rosenfeld,31
Azriel Rosenfeld,31
Azriel Rosenfeld,31
Azriel Rosenfeld,120
Azriel Rosenfeld,31
Azriel Rosenfeld,30
Azriel Rosenfeld,30
Hanan Samet,26
Hanan Samet,8
Hanan Samet,59
Demetri Terzopoulos,319
Katsushi Ikeuchi;Patrick J. Flynn,10
Azriel Rosenfeld,14
Azriel Rosenfeld,30
Azriel Rosenfeld,41
Azriel Rosenfeld,30
Azriel Rosenfeld,30
Azriel Rosenfeld,30
Azriel Rosenfeld,30
Azriel Rosenfeld,30
Zhengyou Zhang,4
Noga Alon,5
Fred Glover,172
Fred Glover,248
Pavol Hell,0
Rajeev Motwani;Madhu Sudan,58
David Peleg,68
Prabhakar Raghavan,3
Keith Edwards,7
Moni Naor,42
Rakesh Agrawal;Johannes Gehrke;Dimitrios Gunopulos;Prabhakar Raghavan,115
Olvi L. Mangasarian,157
Pedro Domingos,234
Steven Salzberg,487
Sunita Sarawagi,16
David Heckerman,537
Pedro Domingos,34
Ben Shneiderman,0
Edmund M. Clarke,2
Amotz Bar-Noy;Danny Dolev,22
Oded Goldreich,22
Leslie Lamport,57
Leslie Lamport,16
Leslie Lamport,2
Leslie Lamport,48
Leslie Lamport,5
Rachid Guerraoui,54
Joseph Y. Halpern,15
Barbara Liskov,134
Joseph Y. Halpern;Ronald Fagin,191
Michael Mitzenmacher,14
Mukesh Singhal,25
Leslie Lamport,135
Leslie Lamport,65
Andrzej Pelc,7
Leslie Lamport,0
Andrzej Pelc,0
Josep Domingo-Ferrer,4
Ari Juels;Madhu Sudan,790
Pankaj K. Agarwal,43
Pankaj K. Agarwal,90
Pankaj K. Agarwal;Micha Sharir,33
Pankaj K. Agarwal;Micha Sharir,83
Pankaj K. Agarwal;Micha Sharir,36
Pankaj K. Agarwal;Micha Sharir,92
Noga Alon,17
Bernard Chazelle,5
Bernard Chazelle,705
Bernard Chazelle,224
Bernard Chazelle,213
Bernard Chazelle,48
Bernard Chazelle;Leonidas J. Guibas,262
David Eppstein,50
David Eppstein,67
David Eppstein,35
Michael T. Goodrich,19
Michael T. Goodrich,53
Micha Sharir,113
Micha Sharir,142
Micha Sharir,84
Gul Agha,4
Rakesh Agrawal,0
Rakesh Agrawal;Michael J. Carey,7
Won Kim,0
Rakesh Agrawal;H. V. Jagadish,68
Michael J. Carey,6
Michael J. Carey,0
Michael J. Carey;David J. DeWitt,40
Michael J. Carey;Donald Kossmann,33
Fabio Casati;Umeshwar Dayal,0
Philip A. Bernstein,1
Won Kim,0
David J. DeWitt,9
Surajit Chaudhuri,123
Surajit Chaudhuri,4
Surajit Chaudhuri,4
Surajit Chaudhuri;Luis Gravano,162
Surajit Chaudhuri;Rajeev Motwani,15
Max J. Egenhofer,45
Jan Chomicki,8
Christos Faloutsos,74
Christos Faloutsos,19
Daniela Florescu;Donald Kossmann,132
William W. Cohen,11
Daniela Florescu;Donald Kossmann,1058
W. Bruce Croft,3
W. Bruce Croft,3
Joseph M. Hellerstein,17
Ian Horrocks,373
Tomasz Imielinski,51
Luis Gravano;Yannis Papakonstantinou,47
Jim Gray,5
Manish Gupta,1
Randy H. Katz,10
Randy H. Katz,1
Steve Lawrence,331
Zbigniew Michalewicz,0
Oscar Nierstrasz,11
Prabhakar Raghavan,32
Raghu Ramakrishnan;Divesh Srivastava,0
Michel Raynal,4
Gerard Salton,16
Sunita Sarawagi,4
Sunita Sarawagi,4
Sunita Sarawagi,117
Sunita Sarawagi,7
Dennis Shasha,18
Dennis Shasha,104
Michael Stonebraker,5
Michael Stonebraker,511
Michael Stonebraker,14
Jeffrey D. Ullman,2
Jennifer Widom,51
Jennifer Widom,200
Gio Wiederhold,0
Jim Gray,3
Serge Abiteboul,154
Elisa Bertino,64
Frank Leymann,16
Frank Leymann,7
Mary Shaw,62
Barry Smith,256
Noga Alon,11
Noga Alon,106
Keith Edwards,0
David Haussler,13
Noga Alon,91
Noga Alon,66
Noga Alon,2
David Peleg,14
Noga Alon,0
Richard Taylor,1
Oded Goldreich,0
Keith Edwards,4
Noga Alon,10
Keith Edwards,0
David Peleg,8
Noga Alon,6
Noga Alon,106
Boualem Benatallah;Fabio Casati,40
Schahram Dustdar,125
Krithi Ramamritham,658
Serge Abiteboul,0
Philip S. Yu,0
Philip A. Bernstein,6
Philip A. Bernstein,0
Raghu Ramakrishnan,0
Philip A. Bernstein,1
Krithi Ramamritham,0
Philip A. Bernstein,0
Krithi Ramamritham,0
Elisa Bertino,0
Krithi Ramamritham,1
Elisa Bertino,0
Krithi Ramamritham,0
Elisa Bertino,0
Elisa Bertino,0
Michael J. Carey,1
Michael J. Carey,0
Michael J. Carey,0
Surajit Chaudhuri,0
Dennis Shasha,0
Surajit Chaudhuri,0
Dennis Shasha,0
Dennis Shasha,0
Dennis Shasha,0
Jim Gray,1
Tomasz Imielinski,0
H. V. Jagadish,0
Divesh Srivastava,0
H. V. Jagadish,0
Divesh Srivastava,0
H. V. Jagadish,0
Divesh Srivastava,0
H. V. Jagadish,0
Divesh Srivastava,0
H. V. Jagadish,0
H. V. Jagadish,0
H. V. Jagadish,0
Victor Vianu,0
Christian S. Jensen,1
Victor Vianu,0
Victor Vianu,0
Victor Vianu,0
Gerhard Weikum,1
Gerhard Weikum,0
Gerhard Weikum,0
Jennifer Widom,1
David Maier,1
Alberto O. Mendelzon,3
Alberto O. Mendelzon,0
Alberto O. Mendelzon,0
Alberto O. Mendelzon,0
Andrew S. Tanenbaum,16
Gregory D. Abowd,1
Frank van Harmelen,20
Ramesh Jain,0
Vipin Kumar,18
Mahadev Satyanarayanan,2
Mahadev Satyanarayanan,1
Mahadev Satyanarayanan,1
Ben Shneiderman,1
Hsinchun Chen,14
Michael L. Littman;Peter Stone,86
Tuomas Sandholm,154
Rajesh Gupta,1
Rajesh Gupta,0
Rajesh Gupta,0
Rajesh Gupta,2
Andrew B. Kahng,6
Andrew B. Kahng,3
Andrew B. Kahng,2
Andrew B. Kahng,10
Giovanni De Micheli,15
Giovanni De Micheli,1
Jan M. Rabaey;Sharad Malik,17
Lance Fortnow,16
Lance Fortnow,66
David Harel,47
Dexter Kozen,14
Christos H. Papadimitriou,84
Moshe Y. Vardi,0
Kalyanmoy Deb,851
Marco Dorigo,64
Zbigniew Michalewicz,76
Oded Goldreich,54
Ran Canetti,35
Oded Goldreich;Avi Wigderson,9
Oded Goldreich,52
Oded Goldreich,12
Cynthia Dwork;Moni Naor,105
Piotr Indyk,4
Oded Goldreich;Avi Wigderson,26
Oded Goldreich,2
Noga Alon;Oded Goldreich;Yishay Mansour,20
Oded Goldreich;Madhu Sudan,59
Oded Goldreich,63
Oded Goldreich,49
Oded Goldreich,29
Oded Goldreich,5
Noam Nisan;Avi Wigderson,103
Oded Goldreich,27
Lance Fortnow,3
Mihir Bellare;Oded Goldreich;Madhu Sudan,396
Oded Goldreich;Noam Nisan;Avi Wigderson,124
Oded Goldreich,37
Oded Goldreich;Avi Wigderson,2
Oded Goldreich,3
Oded Goldreich;Shafi Goldwasser,185
Oded Goldreich,120
Oded Goldreich,47
Oded Goldreich;Madhu Sudan,8
Oded Goldreich;Shafi Goldwasser;Silvio Micali,3
Ran Canetti;Oded Goldreich;Shafi Goldwasser;Silvio Micali,211
Oded Goldreich,2
Noam Nisan,1
Oded Goldreich,9
Piotr Indyk,44
Mihir Bellare;Oded Goldreich,13
Frank van Harmelen,0
Kurt Mehlhorn,1
Noga Alon,17
David Eppstein,55
Robert Morris,12
Schahram Dustdar,0
Jan Mendling,9
Jan Mendling,91
Frank Leymann,23
Matthew Hennessy,2
Neil D. Jones,1
Dale Miller,1
Moshe Y. Vardi,1
Robin Milner,4
Dale Miller,3
Robin Milner,20
Donald E. Knuth,2
Gregg Rothermel;Mary Jean Harrold,14
David Poole,36
W. Bruce Croft,100
W. Bruce Croft,25
Charles Elkan,132
Charles Elkan,9
Oren Etzioni;Daniel S. Weld,461
Boi Faltings,5
W. Eric L. Grimson,14
Takeo Kanade,18
Pattie Maes,29
Deborah L. McGuinness,59
Enrico Motta,7
Steffen Staab,18
Yorick Wilks,5
Ben Shneiderman,6
Yorick Wilks,41
James Hendler,0
Matthew Hennessy,41
Tobias Nipkow,24
Michel Raynal,2
John M. Carroll,4
Rajeev Alur;Thomas A. Henzinger,596
Patrice Godefroid,107
Patrice Godefroid;Pierre Wolper,242
Didier Dubois;Henri Prade,0
Didier Dubois;Henri Prade,124
Didier Dubois;Henri Prade,94
Witold Pedrycz,56
Craig Boutilier,13
Thomas Eiter;Georg Gottlob,35
Frank Pfenning,46
Tao Jiang,29
Dimitris Papadias;Max J. Egenhofer,44
Frank Leymann,0
Dimitris Papadias,66
Riccardo Poli,85
Fred Glover,30
Fred Glover,13
Fred Glover,6
Serge Abiteboul;Christos H. Papadimitriou;Victor Vianu,14
Rajeev Alur;Thomas A. Henzinger,470
Alfred V. Aho;Jeffrey D. Ullman,189
Amotz Bar-Noy;Danny Dolev;Daphne Koller;David Peleg,7
Manuel Blum,140
Luca Cardelli,1214
Bernard Chazelle,82
Didier Dubois;Henri Prade,87
David Eppstein,54
Yoav Freund,55
Yoav Freund,1239
Zvi Galil,3
Zvi Galil,132
Patrice Godefroid;Pierre Wolper,307
Georg Gottlob,33
Georg Gottlob;Christos H. Papadimitriou,25
Joseph Y. Halpern,7
David Harel;Dexter Kozen,34
David Harel;David Peleg,35
David Haussler,742
Matthew Hennessy,77
Matthew Hennessy,46
Matthew Hennessy,65
Thomas A. Henzinger;Zohar Manna;Amir Pnueli,122
Tao Jiang,24
Neil D. Jones,8
Neil D. Jones,5
Donald E. Knuth,786
Donald E. Knuth,75
Dexter Kozen,40
Dexter Kozen,479
Dexter Kozen,38
Richard E. Ladner,95
Kurt Mehlhorn,8
Robin Milner,103
Robin Milner,170
Jens Palsberg,104
Christos H. Papadimitriou;Mihalis Yannakakis,130
Michael O. Rabin,607
Shmuel Peleg,4
David Peleg,28
Frank Pfenning,82
Ronald L. Rivest;Adi Shamir,128
Ronald L. Rivest;Robert E. Schapire,365
Azriel Rosenfeld,25
Azriel Rosenfeld,10
Azriel Rosenfeld,123
Azriel Rosenfeld,182
Azriel Rosenfeld,29
Azriel Rosenfeld,15
Azriel Rosenfeld,19
Azriel Rosenfeld,6
Azriel Rosenfeld,274
Azriel Rosenfeld,10
Azriel Rosenfeld,94
Joseph Sifakis,4
Herbert A. Simon,91
Herbert A. Simon,23
Herbert A. Simon,23
Jacques Stern,66
Mikkel Thorup,104
Moshe Y. Vardi;Pierre Wolper,696
Uzi Vishkin,152
Uzi Vishkin;Avi Wigderson,18
Philip Wadler,21
Pierre Wolper,712
Simon S. Lam,117
Ronald Fagin,122
Simon S. Lam,11
Vivek Sarkar,71
Prabhakar Raghavan;Marc Snir,168
Vivek Sarkar,75
Gio Wiederhold;John McCarthy,1
Gregory D. Abowd,661
Mary Beth Rosson;John M. Carroll,1134
Thomas Hofmann,22
Pedro Domingos,73
Michael Wooldridge,786
Franco Zambonelli,0
Sushil Jajodia,2
Schahram Dustdar,5
Ramesh Jain,1
Ramesh Jain,1
Ramesh Jain,5
Ramesh Jain,5
Ramesh Jain,1
Ramesh Jain,32
Ramesh Jain,5
Ramesh Jain,2
Ramesh Jain,0
Ramesh Jain,26
Ramesh Jain,2
Ramesh Jain,2
Ramesh Jain,36
Ramesh Jain,6
Ramesh Jain,17
Ramesh Jain,2
Ramesh Jain,1
Ramesh Jain,12
Ramesh Jain,1
Ramesh Jain,0
Ramesh Jain,0
Ramesh Jain,3
Ramesh Jain,10
Ramesh Jain,2
Ramesh Jain,2
David Lowe,1
Ben Shneiderman,4
John R. Smith,6
John R. Smith;Shih-Fu Chang,421
Rosario Gennaro,11
Ross Anderson,4
Hermann Ney,7
Frank Leymann,31
Lawrence C. Paulson,11
Moshe Y. Vardi,5
Craig Boutilier,19
Adnan Darwiche,25
Didier Dubois;Henri Prade,31
Didier Dubois;Henri Prade,35
Didier Dubois;Henri Prade,88
Didier Dubois;Henri Prade,71
