synergy	colval
83.2122658698	-32.0
62.8601978246	6.0
-50.2300621159	-81.0
26.6695838972	-33.0
-69.6643130476	-132.0
-27.0557720005	-28.0
114.046213872	68.0
42.5520913844	6.0
-176.851555528	-243.0
-77.9439799703	-158.0
-17.3346309541	-11.0
-70.844745211	-194.0
14.8512793394	10.0
-55.8914026519	-149.0
145.655947931	37.0
-360.905536459	-495.0
-25.6975244647	-51.0
36.6208976178	-89.0
-157.402731182	-278.0
-21.8543249113	-18.0
-1.17834580007	-10.0
494.851905022	375.0
683.241794104	617.0
-52.6272527355	-117.0
116.924597623	18.0
-162.277274713	-237.0
-2.04060181691	-71.0
56.3454479349	-12.0
-180.782305698	-276.0
189.907848842	165.0
-24.5067216902	-46.0
-30.8750238422	-75.0
38.9892448625	45.0
855.506495764	739.0
-50.9362316697	-73.0
54.0260291661	25.0
-131.862280548	-194.0
-93.3681940858	-209.0
132.987160047	89.0
-71.9492454017	-186.0
44.2741469317	36.0
32.5931750294	-51.0
-2.41333245255	2.0
710.707336501	605.0
-4.54256316072	-62.0
68.6311805673	67.0
583.844900422	518.0
61.8349738103	29.0
-61.0175609969	-188.0
864.88346941	749.0
779.2404609	669.0
-193.849218224	-332.0
-33.9230477956	-45.0
71.8134629906	-27.0
65.6608112901	8.0
32.3468750763	-20.0
42.306675472	-65.0
-6.61364107876	-89.0
45.2423179974	48.0
-33.9550402698	-34.0
26.9757855624	17.0
71.0575976619	3.0
1412.09442952	1303.0
50.1507682221	-20.0
54.0443712714	59.0
-35.7342562683	-118.0
45.720901448	-37.0
-225.693695062	-352.0
25.0538205052	-73.0
721.242560385	613.0
389.369146347	338.0
957.836738526	842.0
27.0743812426	-71.0
270.677154286	165.0
46.7673887197	36.0
118.196530414	19.0
6.93948355274	3.0
85.3789801492	20.0
-60.9728403283	-121.0
272.487619779	176.0
-12.8545332796	-41.0
32.2754600949	11.0
-29.1134084596	-44.0
44.1050167689	-3.0
-97.0194237519	-159.0
100.748937888	22.0
-9.8947763614	-70.0
-36.118053962	-94.0
-1.44046351912	-79.0
863.268312454	751.0
-155.706668738	-231.0
-204.321187092	-308.0
4.91534321018	3.0
14.6347239219	6.0
-17.7152917632	-22.0
-15.6157870963	-72.0
58.5338718029	-16.0
-31.3034157337	-32.0
-83.1534512681	-175.0
79.0963511882	34.0
54.6575598993	12.0
11.3458968788	-64.0
-28.9774477825	-137.0
-1.05696317265	0.0
12.9786636894	5.0
64.281619877	47.0
-13.3924179943	-10.0
-56.0015444877	-110.0
31.2833411056	-28.0
-24.6269640781	-99.0
84.0564248286	68.0
-16.7048523002	-44.0
22.0082611523	-9.0
38.1973136091	23.0
-25.4466975652	-123.0
13.8057637617	12.0
42.3854842462	44.0
2.61767488656	-61.0
47.3336540602	42.0
-44.6025453244	-89.0
-14.8088591453	-81.0
-46.5017540384	-144.0
-1.88495103997	-34.0
-53.545020999	-154.0
-38.4405472707	-54.0
24.2134071383	-12.0
16.0784699842	-10.0
89.2627766013	-45.0
3.22102966385	-16.0
92.1528380253	51.0
22.2661408654	-81.0
32.3338264801	11.0
-25.1579048858	-40.0
-13.4488031017	-21.0
38.5058734523	-32.0
17.9419148051	18.0
-17.0898271742	-100.0
15.141239201	-84.0
196.736622848	91.0
3.30118057627	-80.0
42.0237286722	37.0
-66.205598358	-118.0
-33.3614730801	-137.0
9.40282558382	10.0
-163.699815969	-226.0
-43.5489327146	-157.0
601.399048851	517.0
85.9766948855	21.0
-66.4340325426	-153.0
-35.7288634435	-51.0
-87.6723022439	-132.0
5.78028636808	-99.0
36.349946251	-47.0
41.6959871612	-15.0
-391.414987452	-483.0
29.1914938338	-15.0
-72.2438980143	-113.0
-124.002867174	-149.0
-21.8750706587	-22.0
16.0057136668	-9.0
280.269212276	156.0
229.9066243	129.0
7.46425294032	5.0
40.1824474412	42.0
-174.232857813	-184.0
-79.2496072893	-194.0
-334.322958028	-447.0
353.294585217	275.0
-39.3342698546	-144.0
45.7268887452	-19.0
13.3644935127	-41.0
-63.5680458846	-91.0
-76.3875531541	-162.0
9.36104599749	-31.0
21.256268883	-29.0
-5.55490813388	-32.0
31.720574177	51.0
5.29893788377	-2.0
