ingredients,rating
"ice-cubes,rye-whiskey,dry-vermouth,pineapple-juice",32
"ice-cubes,light-rum,ice-tea,pineapple-liqueur,pineapple",20
"ice-cubes,absolut-kurant,simple-syrup,raspberry-soda,blackberry,raspberry",45
"ice-cubes,gin,orange-flavored-brandy,lime-juice,simple-syrup,lime",30
"ice-cubes,gin,bitters",20
"ice-cubes,rye-whiskey,apricot-brandy,cherry-brandy,lemon-juice",25
"absolut-100,champagne",50
"ice-cubes,rye-whiskey,apple-juice,lemon-juice,elderflower-cordial,champagne,apple",50
"ice-cubes,scotch-whisky,dry-vermouth,orange-flavored-brandy,orange-bitters,maraschino-berry",30
"ice-cubes,absolut-100,apple-juice",43
"ice-cubes,gin,benedictine-dom,orange-curacao,vermouth-sweet,lemon,maraschino-berry",26
"ice-cubes,absinthe,orgeat-almond-syrup,water",41
"ice-cubes,absolut-vodka,pineapple-juice,lime-cordial,lime-juice",40
"ice-cubes,absolut-citron,orange-flavored-vodka,orange-flavored-brandy,campari,cranberry-juice,lemon-juice",51
"ice-cubes,dry-vermouth,gin",20
"ice-cubes,carrot-juice,orange-juice,pineapple-juice,lemon-juice,water,mango,maraschino-berry,orange",50
"ice-cubes,scotch-whisky,lemon-juice,triple-sec,maraschino-berry",16
"ice-cubes,light-rum,calvados,vermouth-sweet",20
"ice-cubes,gin,orange-juice,orange",20
"ice-cubes,absolut-100,tomato-juice,lemon-juice,celery,tomato",32
"ice-cubes,light-rum,apricot-brandy,lime-juice,simple-syrup,lime",40
"ice-cubes,absolut-100,tomato-juice,lemon-juice",1
"ice-cubes,gin,grape-juice,swedish-punsch",14
"ice-cubes,absolut-100",50
"ice-cubes,aged-rum-of-cuban-type,cranberry-juice,grapefruit-juice,lime",30
"ice-cubes,crushed-ice,cognac,simple-syrup,lemon-juice,black-raspberry-liqueur,lemon,mint-leaf,raspberry",57
"crushed-ice,light-rum,rum-of-haitian-type,dark-rum-aged,overproof-rum,pineapple-juice,lime-juice,orange-juice,cherry-brandy,pineapple",55
"ice-cubes,gin,orange-juice,simple-syrup,lemon-juice,mint-leaf",17
"ice-cubes,gin,tonic-water,lemon",70
"ice-cubes,gin,cognac,orange-curacao,orange-bitters",20
"ice-cubes,gin,passionfruit-liqueur,vermouth-sweet,violet-liqueur",40
"ice-cubes,cream,white-cacao-liqueur",40
"ice-cubes,cognac,cream,runny-honey",52
"ice-cubes,absolut-vodka,cognac,scotch-whisky,maraschino-liqueur",30
"crushed-ice,gin,ginger-ale,lemon",40
"ice-cubes,champagne,dubonnet,orange",30
"ice-cubes,bison-grass-flavored-vodka,creme-de-menthe-white,lemon-juice,maraschino-berry",43
"ice-cubes,rye-whiskey,simple-syrup,pineapple",30
"ice-cubes,gin,triple-sec,lemon-juice,egg-white,grenadine",50
"ice-cubes,absolut-vodka,orange-juice,vanilla-liqueur",38
"crushed-ice,gin,grenadine,maraschino-liqueur,lime,maraschino-berry,orange,pineapple,strawberry",20
"ice-cubes,light-rum,pineapple-juice,grenadine,maraschino-liqueur,lime",40
"ice-cubes,gin,kiwi-liqueur,lemon-juice",33
"ice-cubes,light-rum,dry-vermouth,lemon-juice,grenadine",30
"ice-cubes,gin,dry-vermouth,fernet-branca,triple-sec,vermouth-sweet",24
"ice-cubes,absolut-kurant,dry-vermouth,simple-syrup,blackberry",34
"ice-cubes,apricot-brandy,orange-juice,vanilla-ice-cream,triple-sec,maraschino-berry,mint-leaf",40
"ice-cubes,absolut-kurant,simple-syrup,blackberry",23
"ice-cubes,rye-whiskey,dry-vermouth,benedictine-dom,orange",30
"ice-cubes,aged-rum-of-cuban-type,white-cacao-liqueur,dark-cacao-liqueur,lime-juice,simple-syrup,lime",48
"ice-cubes,gin,yellow-chartreuse,lemon-juice,grenadine",40
"ice-cubes,dark-rum-of-jamaican-type,absolut-vodka,pineapple-juice,banana-liqueur,grenadine,lime-juice",32
"ice-cubes,light-rum,lemon-juice,triple-sec,benedictine-dom",50
"ice-cubes,absolut-grapevine,cranberry-juice,pineapple-juice,pineapple",50
"ice-cubes,gin,lime-juice,green-chartreuse,pineapple-juice,mint-leaf,strawberry",30
"ice-cubes,gin,apricot-brandy,calvados,benedictine-dom,maple-syrup",52
"black-raspberry-liqueur,blackberry-liqueur,elderflower-cordial,champagne",30
"ice-cubes,orange-juice,lemon-juice,grenadine,soda-water,lemon",49
"ice-cubes,absolut-grapevine,orange-liqueur,lemon-juice,egg-white,orange",50
"ice-cubes,orange-juice,campari,simple-syrup,cucumber",40
"ice-cubes,absolut-peppar,tomato-juice,lemon-juice,hot-sauce,worcestershire-sauce,horseradish,ground-black-pepper,celery",50
