players	count	points
Aaron Brooks,Brent Barry,Carl Landry,Rafer Alston,Ron Artest	1	4.0
Aaron Brooks,Brent Barry,Carl Landry,Rafer Alston,Yao Ming	3	2.0
Aaron Brooks,Brent Barry,Carl Landry,Ron Artest,Von Wafer	3	6.0
Aaron Brooks,Brent Barry,Carl Landry,Ron Artest,Yao Ming	6	6.5
Aaron Brooks,Brent Barry,Carl Landry,Shane Battier,Yao Ming	4	5.0
Aaron Brooks,Brent Barry,Carl Landry,Tracy McGrady,Yao Ming	3	9.0
Aaron Brooks,Brent Barry,Carl Landry,Von Wafer,Yao Ming	3	5.333333333333333
Aaron Brooks,Brent Barry,Chuck Hayes,Luis Scola,Ron Artest	1	5.0
Aaron Brooks,Brent Barry,Chuck Hayes,Luis Scola,Tracy McGrady	1	16.0
Aaron Brooks,Brent Barry,Chuck Hayes,Luis Scola,Von Wafer	1	12.0
Aaron Brooks,Brent Barry,Chuck Hayes,Luther Head,Von Wafer	1	10.0
Aaron Brooks,Brent Barry,Chuck Hayes,Ron Artest,Yao Ming	2	8.5
Aaron Brooks,Brent Barry,Chuck Hayes,Von Wafer,Yao Ming	1	2.0
Aaron Brooks,Brent Barry,Dikembe Mutombo,Luis Scola,Ron Artest	1	17.0
Aaron Brooks,Brent Barry,Luis Scola,Rafer Alston,Shane Battier	1	8.0
Aaron Brooks,Brent Barry,Luis Scola,Rafer Alston,Yao Ming	1	2.0
Aaron Brooks,Brent Barry,Luis Scola,Ron Artest,Shane Battier	1	3.0
Aaron Brooks,Brent Barry,Luis Scola,Ron Artest,Tracy McGrady	1	9.0
Aaron Brooks,Brent Barry,Luis Scola,Ron Artest,Von Wafer	1	2.0
Aaron Brooks,Brent Barry,Luis Scola,Ron Artest,Yao Ming	2	3.5
Aaron Brooks,Brent Barry,Luis Scola,Von Wafer,Yao Ming	1	17.0
Aaron Brooks,Brent Barry,Rafer Alston,Ron Artest,Yao Ming	1	6.0
Aaron Brooks,Brent Barry,Rafer Alston,Shane Battier,Von Wafer	1	5.0
Aaron Brooks,Brent Barry,Ron Artest,Shane Battier,Yao Ming	2	5.5
